Image,Organized,Maturity,Confidence,Attentiveness,Adaptiveness,Ambivert
Image_1,0,1,1,0,0,1
Image_2,1,0,1,1,1,0
Image_3,1,1,0,0,0,1
Image_4,1,1,0,1,0,1
Image_5,1,1,1,0,1,0
Image_6,0,1,1,0,1,0
Image_7,1,0,1,1,1,1
Image_8,0,0,1,1,1,0
Image_9,1,1,1,0,0,0
Image_10,1,1,1,0,0,0
Image_11,0,1,1,0,0,0
Image_12,1,1,0,1,0,1
Image_13,0,1,1,1,1,0
Image_14,0,1,1,1,0,1
Image_15,1,1,0,0,1,0
Image_16,0,1,1,0,0,1
Image_17,0,1,1,1,1,0
Image_18,0,1,1,1,0,1
Image_19,1,1,1,1,1,1
Image_20,1,1,1,0,0,1
Image_21,1,1,0,1,1,1
Image_22,0,1,1,0,0,0
Image_23,1,1,1,0,1,0
Image_24,1,1,1,1,0,1
Image_25,1,1,0,1,0,1
Image_26,0,1,0,0,0,0
Image_27,1,1,1,0,1,0
Image_28,1,1,0,0,1,1
Image_29,0,1,1,1,1,0
Image_30,0,1,1,1,0,0
Image_31,1,0,0,1,0,1
Image_32,0,1,1,0,1,1
Image_33,0,1,0,1,1,0
Image_34,1,1,1,1,0,0
Image_35,1,1,1,0,0,1
Image_36,0,1,0,1,0,0
Image_37,0,1,1,1,0,0
Image_38,0,1,0,1,0,1
Image_39,1,1,1,1,0,0
Image_40,0,1,0,0,0,1
Image_41,1,1,0,0,1,1
Image_42,0,1,1,0,1,0
Image_43,1,1,1,0,0,0
Image_44,0,0,1,0,1,0
Image_45,1,1,1,0,1,0
Image_46,1,1,0,0,1,0
Image_47,1,1,0,1,0,1
Image_48,1,1,1,0,1,0
Image_49,0,1,0,1,0,0
Image_50,0,1,1,1,0,1
Image_51,1,0,1,0,0,0
Image_52,0,1,1,0,0,0
Image_53,1,1,1,0,1,0
Image_54,1,1,0,0,1,1
Image_55,0,0,1,1,1,1
Image_56,1,1,1,0,0,0
Image_57,1,0,1,1,0,0
Image_58,1,0,1,0,1,1
Image_59,0,0,1,1,0,0
Image_60,1,0,0,1,0,0
Image_61,1,1,1,0,0,0
Image_62,0,1,1,1,0,1
Image_63,1,1,0,0,1,0
Image_64,1,0,0,0,1,0
Image_65,0,0,1,1,0,1
Image_66,0,0,1,1,0,1
Image_67,1,1,0,0,1,1
Image_68,1,1,0,0,0,0
Image_69,0,0,1,0,0,1
Image_70,0,1,0,0,1,0
