Image,Organized,Maturity,Confidence,Attentiveness,Adaptiveness,Ambivert
Image_1,0,1,1,0,0,1
Image_2,1,0,1,1,1,0
Image_3,1,1,0,0,0,1
Image_4,1,1,0,1,0,1
Image_5,1,1,1,0,1,0
Image_6,0,1,1,0,1,0
Image_7,1,0,1,1,1,1
Image_8,0,0,1,1,1,0
Image_9,1,1,1,0,0,0
Image_10,1,1,1,0,0,0
Image_11,0,1,1,0,0,0
Image_12,1,1,0,1,0,1
Image_13,0,1,1,1,1,0
Image_14,0,1,1,1,0,1
Image_15,1,1,0,0,1,0
image_16,0,1,1,0,0,1
image_17,0,1,1,1,1,0
image_18,0,1,1,1,0,1
image_19,1,1,1,1,1,1
image_20,1,1,1,0,0,1
image_21,1,1,0,1,1,1
image_22,0,1,1,0,0,0
image_23,1,1,1,0,1,0
image_24,1,1,1,1,0,1
image_25,1,1,0,1,0,1
image_26,0,1,0,0,0,0
image_27,1,1,1,0,1,0
image_28,1,1,0,0,1,1
image_29,0,1,1,1,1,0
image_30,0,1,1,1,0,0
image_31,1,0,0,1,0,1
image_32,0,1,1,0,1,1
image_33,0,1,0,1,1,0
image_34,1,1,1,1,0,0
image_35,1,1,1,0,0,1
image_36,0,1,0,1,0,0
image_37,0,1,1,1,0,0
image_38,0,1,0,1,0,1
image_39,1,1,1,1,0,0
image_40,0,1,0,0,0,1
image_41,1,1,0,0,1,1
image_42,0,1,1,0,1,0
image_43,1,1,1,0,0,0
image_44,0,0,1,0,1,0
image_45,1,1,1,0,1,0
image_46,1,1,0,0,1,0
image_47,1,1,0,1,0,1
image_48,1,1,1,0,1,0
image_49,0,1,0,1,0,0
image_50,0,1,1,1,0,1
image_51,1,0,1,0,0,0
image_52,0,1,1,0,0,0
image_53,1,1,1,0,1,0
image_54,1,1,0,0,1,1
image_55,0,0,1,1,1,1
image_56,1,1,1,0,0,0
image_57,1,0,1,1,0,0
image_58,1,0,1,0,1,1
image_59,0,0,1,1,0,0
image_60,1,0,0,1,0,0
image_61,1,1,1,0,0,0
image_62,0,1,1,1,0,1
image_63,1,1,0,0,1,0
image_64,1,0,0,0,1,0
image_65,0,0,1,1,0,1
image_66,0,0,1,1,0,1
image_67,1,1,0,0,1,1
image_68,1,1,0,0,0,0
image_69,0,0,1,0,0,1
image_70,0,1,0,0,1,0
